kind,pref,name,area,lat,lon,mlat,mlon
fishing,岩手県,大槌漁港,大槌町,39.35309,141.92391,39.35309,141.92391
fishing,岩手県,大沢漁港,大沢,39.48118,141.97571,39.48118,141.97571
fishing,岩手県,大浦漁港,大浦,39.44941,142.00173,39.44941,142.00173
fishing,岩手県,大石漁港,唐丹町,39.18229,141.89157,39.18229,141.89157
fishing,岩手県,大祝漁港,広田湾,38.95729,141.72448,38.95729,141.72448
fishing,岩手県,大船渡漁港,大船渡市,39.06624,141.72867,39.06624,141.72867
fishing,岩手県,大陽漁港,広田湾,38.97099,141.67671,38.97099,141.67671
fishing,岩手県,太田名部漁港,普代村,40.00975,141.90666,40.00975,141.90666
fishing,岩手県,姉吉漁港,重茂,39.53282,142.05256,39.53282,142.05256
fishing,岩手県,嬉石漁港,釜石湾,39.26456,141.89031,39.26456,141.89031
fishing,岩手県,室浜漁港,釜石東部,39.34344,141.90864,39.34344,141.90864
fishing,岩手県,宿戸漁港,種市南,40.36998,141.75332,40.36998,141.75332
fishing,岩手県,宿漁港,宮古,39.68812,141.96834,39.68812,141.96834
fishing,岩手県,小堀内漁港,田老町,39.78867,141.98389,39.78867,141.98389
fishing,岩手県,小壁漁港,越喜来,39.11655,141.88851,39.11655,141.88851
fishing,岩手県,小子内漁港,小子内浜,40.33897,141.77197,40.33897,141.77197
fishing,岩手県,小本漁港,小本浜,39.85214,141.97645,39.85214,141.97645
fishing,岩手県,小港,田老町,39.75128,141.99713,39.75128,141.99713
fishing,岩手県,小白浜漁港,唐丹町,39.20578,141.86831,39.20578,141.86831
fishing,岩手県,小石浜漁港,綾里,39.0768,141.82172,39.0768,141.82172
fishing,岩手県,小袖漁港,久慈市,40.16862,141.84999,40.16862,141.84999
fishing,岩手県,小谷鳥漁港,大浦,39.42447,142.01412,39.42447,142.01412
fishing,岩手県,小路漁港,綾里,39.03112,141.77381,39.03112,141.77381
fishing,岩手県,山田漁港,山田湾,39.46986,141.95854,39.46986,141.95854
fishing,岩手県,島の越漁港,田野畑村,39.91421,141.94722,39.91421,141.94722
fishing,岩手県,崎浜漁港,越喜来,39.10101,141.86027,39.10101,141.86027
fishing,岩手県,川代漁港,重茂,39.50076,142.01153,39.50076,142.01153
fishing,岩手県,川尻漁港,かいゑい,31.17662,130.5552,31.17662,130.5552
fishing,岩手県,川尻漁港,種市,40.43191,141.70165,40.43191,141.70165
fishing,岩手県,川津内漁港,久慈市,40.27937,141.81008,40.27937,141.81008
fishing,岩手県,平井賀漁港,田野畑村,39.93226,141.93833,39.93226,141.93833
fishing,岩手県,平田漁港,釜石湾,39.24706,141.89114,39.24706,141.89114
fishing,岩手県,広田漁港,広田湾,38.95363,141.69063,38.95363,141.69063
fishing,岩手県,弁天漁港,普代村,40.00836,141.92888,40.00836,141.92888
fishing,岩手県,戸類家漁港,戸類家,40.37942,141.74138,40.37942,141.74138
fishing,岩手県,扇洞漁港,吉浜,39.15568,141.84671,39.15568,141.84671
fishing,岩手県,日出島漁港,宮古,39.67368,141.98056,39.67368,141.98056
fishing,岩手県,有家漁港,種市南,40.31582,141.78193,40.31582,141.78193
fishing,岩手県,机漁港,田野畑村,39.95052,141.95873,39.95052,141.95873
fishing,岩手県,根岬漁港,広田湾,38.9432,141.70451,38.9432,141.70451
fishing,岩手県,根白漁港,吉浜,39.1552,141.86061,39.1552,141.86061
fishing,岩手県,桑ノ浜漁港,釜石東部,39.30858,141.90743,39.30858,141.90743
fishing,岩手県,桑畑漁港,久慈市,40.2936,141.79693,40.2936,141.79693
fishing,岩手県,槇木沢漁港,田野畑村,39.89199,141.95499,39.89199,141.95499
fishing,岩手県,横沼漁港,久慈市,40.26699,141.81708,40.26699,141.81708
fishing,岩手県,樫内漁港,田老町,39.70657,141.9771,39.70657,141.9771
fishing,岩手県,沢漁港,普代村,40.04974,141.87027,40.04974,141.87027
fishing,岩手県,泊漁港,越喜来,39.10775,141.81171,39.10775,141.81171
fishing,岩手県,泊里漁港,大船渡市,38.99076,141.72819,38.99076,141.72819
fishing,岩手県,津軽石漁港,宮古,39.59415,141.96375,39.59415,141.96375
fishing,岩手県,浦の沢漁港,重茂,39.64146,142.00667,39.64146,142.00667
fishing,岩手県,片岸漁港,釜石東部,39.33936,141.90133,39.33936,141.90133
fishing,岩手県,玉川漁港,野田村,40.08079,141.83199,40.08079,141.83199
fishing,岩手県,田子の木漁港,久慈市,40.28428,141.8068,40.28428,141.8068
fishing,岩手県,田老漁港,田老町,39.73367,141.97528,39.73367,141.97528
fishing,岩手県,白井漁港,普代村,40.03326,141.88563,40.03326,141.88563
fishing,岩手県,白前漁港,久慈市,40.24856,141.82476,40.24856,141.82476
fishing,岩手県,白浜(宮古)漁港,宮古,39.61058,141.97677,39.61058,141.97677
fishing,岩手県,白浜(釜石)漁港,釜石湾,39.2379,141.9217,39.2379,141.9217
